y_eng_m,a_x,a_y,a_z,roll_degs2,pitch_degs2,yaw_degs2,roll_ratio,pitch_ratio,yaw_ratio
1.790,0.773779,0.773779,6.07185,513.555,148.465,130.203,3.4591,1.0000,3.7849
1.800,0.773779,0.773779,6.07185,515.946,148.465,130.738,3.4752,1.0000,3.8005
1.810,0.773779,0.773779,6.07185,518.336,148.465,131.273,3.4913,1.0000,3.8161
1.820,0.773779,0.773779,6.07185,520.727,148.465,131.809,3.5074,1.0000,3.8316
1.830,0.773779,0.773779,6.07185,523.117,148.465,132.344,3.5235,1.0000,3.8472
1.840,0.773779,0.773779,6.07185,525.508,148.465,132.879,3.5396,1.0000,3.8627
1.850,0.773779,0.773779,6.07185,527.899,148.465,133.414,3.5557,1.0000,3.8783
1.860,0.773779,0.773779,6.07185,530.289,148.465,133.949,3.5718,1.0000,3.8939
1.870,0.773779,0.773779,6.07185,532.68,148.465,134.485,3.5879,1.0000,3.9094
1.880,0.773779,0.773779,6.07185,535.07,148.465,135.02,3.6040,1.0000,3.9250
1.890,0.773779,0.773779,6.07185,537.461,148.465,135.555,3.6201,1.0000,3.9405
1.900,0.773779,0.773779,6.07185,539.851,148.465,136.09,3.6362,1.0000,3.9561
1.910,0.773779,0.773779,6.07185,542.242,148.465,136.626,3.6523,1.0000,3.9716
1.920,0.773779,0.773779,6.07185,544.632,148.465,137.161,3.6684,1.0000,3.9872
1.930,0.773779,0.773779,6.07185,547.023,148.465,137.696,3.6845,1.0000,4.0028
1.940,0.773779,0.773779,6.07185,549.413,148.465,138.231,3.7006,1.0000,4.0183
1.950,0.773779,0.773779,6.07185,551.804,148.465,138.766,3.7167,1.0000,4.0339
1.960,0.773779,0.773779,6.07185,554.194,148.465,139.302,3.7328,1.0000,4.0494
1.970,0.773779,0.773779,6.07185,556.585,148.465,139.837,3.7489,1.0000,4.0650
1.980,0.773779,0.773779,6.07185,558.975,148.465,140.372,3.7650,1.0000,4.0806
1.990,0.773779,0.773779,6.07185,561.366,148.465,140.907,3.7811,1.0000,4.0961
2.000,0.773779,0.773779,6.07185,563.756,148.465,141.442,3.7972,1.0000,4.1117
