579 of 800 rows produced a trajectory; re-solving those to keep it
  [traj] 528/579  5179s elapsed
  [traj] 529/579  5193s elapsed
  [traj] 530/579  5200s elapsed
  [traj] 531/579  5208s elapsed
  [traj] 532/579  5219s elapsed
  [traj] 533/579  5222s elapsed
  [traj] 534/579  5228s elapsed
  [traj] 535/579  5253s elapsed
  [traj] 536/579  5258s elapsed
  [traj] 537/579  5260s elapsed
  [traj] 538/579  5262s elapsed
  [traj] 539/579  5276s elapsed
  [traj] 540/579  5284s elapsed
  [t  [traj] 541/579  5237s elap  [traj] 542/579  5305s elapsed
  [traj] 543/579  5310s elapsed
  [traj] 544/579  5313s elapsed
  [traj] 545/579  5318s elapsed
  [traj] 546/579  5344s elapsed
  [traj] 547/579  5350s elapsed
  [t  [traj] 548/579  5299s elap  [traj] 549/579  5378s elapsed
  [traj] 550/579  5385s elapsed
  [traj] 551/579  5387s elapsed
  [traj] 552/579  5400s elapsed
  [traj] 553/579  5431s elapsed
  [traj] 554/579  5432s elapsed
  [traj] 555/579  5432s elapsed
  [traj] 556/579  5439s elapsed
  [t  [traj] 557/579  5392s elap  [traj] 558/579  5460s elapsed
  [traj] 559/579  5465s elapsed
  [traj] 560/579  5479s elapsed
  [traj] 561/579  5487s elapsed
  [traj] 562/579  5501s elapsed
  [traj] 563/579  5504s elapsed
  [traj] 564/579  5507s elapsed
  [traj] 565/579  5523s elapsed
  [traj] 566/579  5526s elapsed
  [traj] 567/579  5548s elapsed
  [traj] 568/579  5550s elapsed
  [traj] 569/579  5553s elapsed
  [traj] 570/579  5559s elapsed
  [traj] 571/579  5561s elapsed
  [traj] 572/579  5596s elapsed
  [t  [traj] 573/579  5554s elapsed
  [traj] 574/579  5555s elap  [t  [traj] 575/579  5557s elap  [traj] 576/579  5612s elapsed
  [t  [traj] 577/579  5582s elap  [t  [traj] 578/579  5602s elap  [t  [traj] 579/579  5603s elapsed

[saved] results/G_trajectories.npz  (579 trajectories)

All 579 re-solves reproduced the campaign outcome.
