Study G — 16 faults x 5 regimes x 10 ICs = 800 solves
  [approach] admissible 1.000 (128/128); rejects: {}
  [dispersed] admissible 0.875 (112/128); rejects: {'outside_glide_cone': 16}
  [upset] admissible 1.000 (128/128); rejects: {}
  [low_late] admissible 0.797 (102/128); rejects: {'outside_glide_cone': 26}
  [critical] admissible 0.828 (106/128); rejects: {'outside_glide_cone': 22}
  [G] 550/800  5570s elapsed
  [G] 551/800  5576s elapsed
  [G] 552/800  5580s elapsed
  [G] 553/800  5581s elapsed
  [G] 554/800  5592s elapsed
  [G] 555/800  5593s elapsed
  [G] 556/800  5598s elapsed
  [G] 557/800  5603s elapsed
  [G] 558/800  5604s elapsed
  [G] 559/800  5610s elapsed
  [G] 560/800  5616s elapsed
  [G] 561/800  5616s elapsed
  [G] 562/800  5621s elapsed
  [G] 563/800  5627s elapsed
  [G] 564/800  5627s elapsed
  [G] 565/800  5634s elapsed
  [G] 566/800  5639s elapsed
  [G] 567/800  5639s elapsed
  [G] 568/800  5651s elapsed
  [G] 569/800  5653s elapsed
  [G] 570/800  5654s elapsed
  [G] 571/800  5661s elapsed
  [G] 572/800  5663s elapsed
  [G] 573/800  5664s elapsed
  [G] 574/800  5665s elapsed
  [G] 575/800  5675s elapsed
  [G] 576/800  5676s elapsed
  [G] 577/800  5677s elapsed
  [G] 578/800  5688s elapsed
  [G] 579/800  5690s elapsed
  [G] 580/800  5692s elapsed
  [G] 581/800  5700s elapsed
  [G] 582/800  5702s elapsed
  [G] 583/800  5703s elapsed
  [G] 584/800  5715s elapsed
  [G] 585/800  5715s elapsed
  [G] 586/800  5715s elapsed
  [G] 587/800  5728s elapsed
  [G] 588/800  5728s elapsed
  [G] 589/800  5729s elapsed
  [G] 590/800  5740s elapsed
  [G] 591/800  5740s elapsed
  [G] 592/800  5741s elapsed
  [G] 593/800  5749s elapsed
  [G] 594/800  5752s elapsed
  [G] 595/800  5755s elapsed
  [G] 596/800  5763s elapsed
  [G] 597/800  5764s elapsed
  [G] 598/800  5775s elapsed
  [G] 599/800  5778s elapsed
  [G] 600/800  5779s elapsed
  [G] 601/800  5787s elapsed
  [G] 602/800  5789s elapsed
  [G] 603/800  5791s elapsed
  [G] 604/800  5795s elapsed
  [G] 605/800  5802s elapsed
  [G] 606/800  5804s elapsed
  [G] 607/800  5807s elapsed
  [G] 608/800  5808s elapsed
  [G] 609/800  5815s elapsed
  [G] 610/800  5819s elapsed
  [G] 611/800  5820s elapsed
  [G] 612/800  5827s elapsed
  [G] 613/800  5832s elapsed
  [G] 614/800  5834s elapsed
  [G] 615/800  5841s elapsed
  [G] 616/800  5845s elapsed
  [G] 617/800  5857s elapsed
  [G] 618/800  5864s elapsed
  [G] 619/800  5869s elapsed
  [G] 620/800  5869s elapsed
  [G] 621/800  5875s elapsed
  [G] 622/800  5881s elapsed
  [G] 623/800  5882s elapsed
  [G] 624/800  5891s elapsed
  [G] 625/800  5892s elapsed
  [G] 626/800  5894s elapsed
  [G] 627/800  5894s elapsed
  [G] 628/800  5906s elapsed
  [G] 629/800  5909s elapsed
  [G] 630/800  5919s elapsed
  [G] 631/800  5921s elapsed
  [G] 632/800  5931s elapsed
  [G] 633/800  5938s elapsed
  [G] 634/800  5943s elapsed
  [G] 635/800  5951s elapsed
  [G] 636/800  5951s elapsed
  [G] 637/800  5952s elapsed
  [G] 638/800  5957s elapsed
  [G] 639/800  5964s elapsed
  [G] 640/800  5965s elapsed
  [G] 641/800  5974s elapsed
  [G] 642/800  5976s elapsed
  [G] 643/800  5977s elapsed
  [G] 644/800  5988s elapsed
  [G] 645/800  5991s elapsed
  [G] 646/800  6007s elapsed
  [G] 647/800  6016s elapsed
  [G] 648/800  6018s elapsed
  [G] 649/800  6029s elapsed
  [G] 650/800  6039s elapsed
  [G] 651/800  6041s elapsed
  [G] 652/800  6053s elapsed
  [G] 653/800  6059s elapsed
  [G] 654/800  6068s elapsed
  [G] 655/800  6094s elapsed
  [G] 656/800  6099s elapsed
  [G] 657/800  6107s elapsed
  [G] 658/800  6115s elapsed
  [G] 659/800  6126s elapsed
  [G] 660/800  6138s elapsed
  [G] 661/800  6180s elapsed
  [G] 662/800  6192s elapsed
  [G] 663/800  6200s elapsed
  [G] 664/800  6205s elapsed
  [G] 665/800  6212s elapsed
  [G] 666/800  6270s elapsed
  [G] 667/800  6271s elapsed
  [G] 668/800  6282s elapsed
  [G] 669/800  6285s elapsed
  [G] 670/800  6286s elapsed
  [G] 671/800  6297s elapsed
  [G] 672/800  6299s elapsed
  [G] 673/800  6303s elapsed
  [G] 674/800  6313s elapsed
  [G] 675/800  6314s elapsed
  [G] 676/800  6325s elapsed
  [G] 677/800  6333s elapsed
  [G] 678/800  6342s elapsed
  [G] 679/800  6343s elapsed
  [G] 680/800  6347s elapsed
  [G] 681/800  6357s elapsed
  [G] 682/800  6364s elapsed
  [G] 683/800  6367s elapsed
  [G] 684/800  6373s elapsed
  [G] 685/800  6383s elapsed
  [G] 686/800  6385s elapsed
  [G] 687/800  6400s elapsed
  [G] 688/800  6403s elapsed
  [G] 689/800  6425s elapsed
  [G] 690/800  6445s elapsed
  [G] 691/800  6463s elapsed
  [G] 692/800  6468s elapsed
  [G] 693/800  6476s elapsed
  [G] 694/800  6520s elapsed
  [G] 695/800  6523s elapsed
  [G] 696/800  6543s elapsed
  [G] 697/800  6547s elapsed
  [G] 698/800  6549s elapsed
  [G] 699/800  6560s elapsed
  [G] 700/800  6572s elapsed
  [G] 701/800  6583s elapsed
  [G] 702/800  6604s elapsed
  [G] 703/800  6605s elapsed
  [G] 704/800  6614s elapsed
  [G] 705/800  6617s elapsed
  [G] 706/800  6633s elapsed
  [G] 707/800  6644s elapsed
  [G] 708/800  6658s elapsed
  [G] 709/800  6659s elapsed
  [G] 710/800  6666s elapsed
