F_auth_frac,F_authority,F_dim,F_min_support,F_origin,F_size,F_size_frac,F_sup_frac,F_vol_frac,F_volume,M_auth_frac,M_authority,M_dim,M_min_support,M_origin,M_size,M_size_frac,M_sup_frac,M_vol_frac,M_volume,applicable,category,fault,label,n_eng,n_rcs,tier,vehicle,worst_unit
1.2654061612306524,19532.613817355726,3,1145.2933150880963,True,4716497454941.974,1.8784762815229639,1.0149185268743084,1.8784762815229639,4716497454941.974,1.228018652143081,15486.84978696783,3,4450.647616995307,True,6002653737116.23,1.5876757974465423,1.071936750581557,1.5876757974465423,6002653737116.23,True,Crewed Vehicles,thrust_excess,"Thrust excess, $\eta$=1.30",1,16,engine,Apollo Lunar Module,0
0.9999301200938364,15434.766700630102,3,1117.7888101241997,True,2500439119864.1807,0.9958694189764606,0.9905450050064908,0.9958694189764606,2500439119864.1807,0.9993478876099888,12603.025689658869,3,4515.98036238422,True,3774293281906.6895,0.9982841520735715,1.0876721169429233,0.9982841520735715,3774293281906.6895,True,Crewed Vehicles,tvc_bias,"TVC misalignment (3°, 2°)",1,16,engine,Apollo Lunar Module,0
0.8716691683993267,13454.950485053192,3,1005.6746741963638,True,159243784000.00003,0.06342326569275045,0.8911934134284741,0.06342326569275045,159243784000.00003,0.2399378261897305,3025.9158245904246,3,1609.5964233044094,True,55416203152.0,0.014657344631889361,0.3876706736242256,0.014657344631889361,55416203152.0,True,Crewed Vehicles,gimbal_seized,Gimbal seizure,1,16,engine,Apollo Lunar Module,0
0.8091121067422564,12489.32935538545,3,-11897.565686525302,False,2365484858627.127,0.9421201312378163,-10.54320293402722,0.9421201312378163,2365484858627.127,1.0,12611.249641803814,3,4151.9684949514985,True,3780780526333.0796,1.0,1.0,1.0,3780780526333.0796,True,Crewed Vehicles,valve_stuck_open,Valve stuck open (30 % floor),1,16,engine,Apollo Lunar Module,0
0.9927927497695255,15324.59535605514,3,1082.475045109426,True,2460740535430.8423,0.9800583536720736,0.9592511924127948,0.9800583536720736,2460740535430.8423,0.9849994886554138,12422.074448482526,3,4117.718381457552,True,3655186116584.7603,0.9667808250509237,0.9917508734626498,0.9667808250509237,3655186116584.7603,True,Crewed Vehicles,rcs_out,RCS thruster dead,1,16,rcs,Apollo Lunar Module,0
0.9927927497695255,15324.59535605514,3,1082.475045109426,True,2460740535430.8423,0.9800583536720736,0.9592511924127948,0.9800583536720736,2460740535430.8423,0.9849994886554138,12422.074448482526,3,4117.718381457552,True,3655186116584.7603,0.9667808250509237,0.9917508734626498,0.9667808250509237,3655186116584.7603,True,Crewed Vehicles,rcs_stuck_open,RCS thruster stuck open,1,16,rcs,Apollo Lunar Module,1
0.8764807174801031,118364.96642336893,3,1219.4570154425467,True,2332260519216.215,0.8756108456160615,1.0,0.8756108456160615,2332260519216.215,0.8778503734021843,131910.29728259426,3,12981.432014332435,True,715245804009558.2,0.7529298921244321,0.7293198049660524,0.7529298921244321,715245804009558.2,True,Crewed Vehicles,engine_out,Engine out,8,16,engine,Crew Dragon (Dragon 2),2
0.8950086098580875,120867.0789233689,3,1219.4570154425467,True,2381958609739.117,0.8942692187736564,1.0,0.8942692187736564,2381958609739.117,0.8961728173918565,134663.5216438876,3,13704.122497752733,True,750451443964077.4,0.7899904083057663,0.7699218342211445,0.7899904083057663,750451443964077.4,True,Crewed Vehicles,thrust_loss_85,"Thrust reduction, $\eta$=0.15",8,16,engine,Crew Dragon (Dragon 2),2
0.9382403587400517,126705.34142336893,3,1219.4570154425467,True,2497920820959.1885,0.9378054228080316,1.0,0.9378054228080316,2497920820959.1885,0.938925186701092,141087.71182023876,3,15390.4002924001,True,832597937191290.2,0.8764649460622146,0.8646599024830262,0.8764649460622146,832597937191290.2,True,Crewed Vehicles,thrust_loss_50,"Thrust reduction, $\eta$=0.50",8,16,engine,Crew Dragon (Dragon 2),2
1.0370557847559692,140049.9414233689,3,1219.4570154425467,True,2762977303747.9395,1.0373167463151811,1.0,1.0373167463151811,2762977303747.9395,1.0366092789734918,155766.22428870603,3,17799.368570467766,True,1020362176771496.1,1.0741219023972723,1.0,1.0741219023972723,1020362176771496.1,True,Crewed Vehicles,thrust_excess,"Thrust excess, $\eta$=1.30",8,16,engine,Crew Dragon (Dragon 2),0
